Company,Country,Sector,Industry,ISIN,Year,Published,CSRD Compliant,Report Year,Pages,Report Link
"Virbac SA","France","Health Care","Biotechnology & Pharmaceuticals","FR0000031577","2025","2026-04-27","full","Second Year CSRD","121","https://corporate.virbac.com/files/live/sites/virbac-corporate/files/contributed/RA%202025/PDF/Annual_report_Virbac_2025.pdf"
"DiaSorin SpA","Italy","Health Care","Medical Equipment & Supplies","IT0003492391","2025","2026-04-20","full","Second Year CSRD","112","https://int.diasorin.com/sites/default/files/annual-interim-reports/Financial%20Statements%2031.12.2025.pdf"
"AstraZeneca","United Kingdom","Health Care","Biotechnology & Pharmaceuticals","GB0009895292","2025","2026-04-19","full","First Year CSRD","18","https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2025/pdf/AstraZeneca_AR_2025.pdf#page=206.09"
"Guerbet","France","Health Care","Medical Equipment & Supplies","FR0000032526","2025","2026-04-03","full","Second Year CSRD","94","https://www.guerbet.com/media/4719/download?inline"
"Euroapi","France","Health Care","Biotechnology & Pharmaceuticals","FR0014008VX5","2025","2026-04-01","full","Second Year CSRD","107","https://www.euroapi.com/sites/default/files/2026-03/euroapi_2025-universal-registration-document_en_27march26.pdf"
"Swedish Orphan Biovitrum AB","Sweden","Health Care","Biotechnology & Pharmaceuticals","SE0000872095","2025","2026-04-01","full","Second Year CSRD","55","https://www.sobi.com/sites/sobi/files/pr/202603260876-1.pdf"
"Ipsen","France","Health Care","Biotechnology & Pharmaceuticals","FR0010259150","2025","2026-04-01","full","Second Year CSRD","229","https://www.ipsen.com/wp-content/uploads/2026/04/IPSEN-UNIVERSAL-REGISTRATION-DOCUMENT-2025-ENGLISH.pdf"
"AddLife AB","Sweden","Health Care","Biotechnology & Pharmaceuticals","SE0014401378","2025","2026-04-01","full","Second Year CSRD","45","https://reports-en.add.life/umbraco/surface/pdf/Export?NodeId=39151&culture=en"
"Arjo AB","Sweden","Health Care","Medical Equipment & Supplies","SE0010468116","2025","2026-03-31","full","Second Year CSRD","44","https://www.arjo.com/siteassets/01-about-us/investors/2026/ahr25/arjo_ahr25_eng.pdf"
"Garofalo Health Care SpA","Italy","Health Care","Health Care Delivery","IT0005345233","2025","2026-03-31","full","Second Year CSRD","118","https://www.garofalohealthcare.com/sites/default/files/2026-04/Annual%20Financial%20Report%20FY2025.pdf"
